date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:56	54206/54206	---M--	200	added ('OK')	image/png	etag:%22d3be-5bddb93a-fd93bf2cb47edc5b;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g2.png	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g2.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:15:59	70209/70209	---M--	200	added ('OK')	image/png	etag:%2211241-5bddb93c-10e81f275abf584b;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g3.png	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g3.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:02	74917/74917	---M--	200	added ('OK')	image/png	etag:%22124a5-5bddb93c-efd676cbb3bf3eb2;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g5.png	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g5.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:04	53729/53729	---M--	200	added ('OK')	image/png	etag:%22d1e1-5bddb93c-940aeab9fbea003d;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g4.png	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g4.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:05	11197/11197	---M--	200	added ('OK')	image/jpeg	etag:%222bbd-5bddb93c-54fc3129ebe94158;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g7.jpg	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g7.jpg	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:07	11846/11846	---M--	200	added ('OK')	application/octet-stream	etag:%222e46-5c505370-b73f6ecc40e02bf3;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/pr-1.jif	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/pr-1.jif	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:08	56268/56268	---M--	200	added ('OK')	image/png	etag:%22dbcc-5bddb93c-cd6f345316f24f90;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g8.png	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g8.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:08	24741/24741	---M--	200	added ('OK')	application/octet-stream	etag:%2260a5-5c505370-1fb2f4ce672362fa;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/pr-0.jif	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/pr-0.jif	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:08	28240/28240	---M-Z	200	added ('OK')	text/html	etag:%226e50-5e1ce602-134c26ca3ad52632;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/blog-single.html	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/blog-single.html	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:13	36496/36496	---M--	200	added ('OK')	image/png	etag:%228e90-5c5053f6-2a7f2a968bfc2fe7;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-3.png	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-3.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
